trend_tag,week_start,count,avg_engagement
cherry_cola_lips,2026-02-09,55,50.4
cherry_cola_lips,2026-02-16,56,48.49
cherry_cola_lips,2026-02-23,59,47.24
cherry_cola_lips,2026-03-02,55,48.55
cherry_cola_lips,2026-03-09,69,48.94
cherry_cola_lips,2026-03-16,57,49.22
cherry_cola_lips,2026-03-23,55,47.16
cherry_cola_lips,2026-03-30,56,46.96
clean_girl_makeup,2026-02-09,3,42.52
clean_girl_makeup,2026-02-16,4,45.03
clean_girl_makeup,2026-02-23,0,43.31
clean_girl_makeup,2026-03-02,0,43.83
clean_girl_makeup,2026-03-09,0,40.34
clean_girl_makeup,2026-03-16,0,41.62
clean_girl_makeup,2026-03-23,0,39.95
clean_girl_makeup,2026-03-30,0,47.26
euphoria_glitter_liner,2026-02-09,0,37.99
euphoria_glitter_liner,2026-02-16,0,42.34
euphoria_glitter_liner,2026-02-23,0,44.85
euphoria_glitter_liner,2026-03-02,0,44.73
euphoria_glitter_liner,2026-03-09,0,39.77
euphoria_glitter_liner,2026-03-16,0,43.75
euphoria_glitter_liner,2026-03-23,0,38.01
euphoria_glitter_liner,2026-03-30,0,42.09
fox_eye_siren_eye,2026-02-09,0,47.28
fox_eye_siren_eye,2026-02-16,0,39.25
fox_eye_siren_eye,2026-02-23,0,42.74
fox_eye_siren_eye,2026-03-02,0,46.07
fox_eye_siren_eye,2026-03-09,0,43.63
fox_eye_siren_eye,2026-03-16,0,44.27
fox_eye_siren_eye,2026-03-23,0,41.13
fox_eye_siren_eye,2026-03-30,0,40.85
glass_skin,2026-02-09,40,46.88
glass_skin,2026-02-16,42,43.31
glass_skin,2026-02-23,44,49.22
glass_skin,2026-03-02,41,45.1
glass_skin,2026-03-09,47,41.4
glass_skin,2026-03-16,40,51.3
glass_skin,2026-03-23,39,47.84
glass_skin,2026-03-30,44,47.17
graphic_editorial_liner,2026-02-09,39,48.66
graphic_editorial_liner,2026-02-16,43,50.2
graphic_editorial_liner,2026-02-23,46,47.49
graphic_editorial_liner,2026-03-02,45,49.82
graphic_editorial_liner,2026-03-09,45,48.88
graphic_editorial_liner,2026-03-16,31,43.96
graphic_editorial_liner,2026-03-23,25,44.18
graphic_editorial_liner,2026-03-30,20,45.4
latte_makeup,2026-02-09,49,51.78
latte_makeup,2026-02-16,43,48.98
latte_makeup,2026-02-23,44,41.87
latte_makeup,2026-03-02,42,46.13
latte_makeup,2026-03-09,42,50.49
latte_makeup,2026-03-16,42,49.36
latte_makeup,2026-03-23,43,47.66
latte_makeup,2026-03-30,48,41.71
strawberry_girl_blush,2026-02-09,18,42.38
strawberry_girl_blush,2026-02-16,20,43.69
strawberry_girl_blush,2026-02-23,12,45.83
strawberry_girl_blush,2026-03-02,9,41.96
strawberry_girl_blush,2026-03-09,13,42.77
strawberry_girl_blush,2026-03-16,12,43.34
strawberry_girl_blush,2026-03-23,16,41.62
strawberry_girl_blush,2026-03-30,16,44.46
